num_target;   la; isd; niter;     tex; te_acc;
         1;  0.0;   1;     5;  0.1021;  100.0;
         1;  0.0;   3;     5;  0.0941;  100.0;
         1;  1.0;   1;    92;  0.4178;  100.0;
         1;  1.0;   3;    22;  0.2273;  100.0;
         1; 10.0;   1;    52;  0.2585;  100.0;
         1; 10.0;   3;    35;  0.2732;  100.0;
         2;  0.0;   1;   166;  0.5657;   98.4;
         2;  0.0;   3;    85;  0.6341;   97.2;
         2;  1.0;   1;   251;  0.8476;   98.0;
         2;  1.0;   3;    24;  0.2169;   98.0;
         2; 10.0;   1;    62;  0.2730;   89.6;
         2; 10.0;   3;    37;  0.2822;   89.6;
         3;  0.0;   1;  1945;  5.5921;   97.6;
         3;  0.0;   3;    18;  0.1431;   94.4;
         3;  1.0;   1;   461;  1.4600;   98.0;
         3;  1.0;   3;    28;  0.2258;   98.0;
         3; 10.0;   1;   121;  0.4484;   97.6;
         3; 10.0;   3;    44;  0.3100;   97.6;
         4;  0.0;   1;     3;  0.0762;  100.0;
         4;  0.0;   3;     3;  0.0810;  100.0;
         4;  1.0;   1;   116;  0.4302;  100.0;
         4;  1.0;   3;    21;  0.2005;  100.0;
         4; 10.0;   1;    54;  0.2627;  100.0;
         4; 10.0;   3;    34;  0.2602;  100.0;
         5;  0.0;   1;     8;  0.0969;   99.6;
         5;  0.0;   3;    31;  0.2242;   99.6;
         5;  1.0;   1;   173;  0.6174;   99.6;
         5;  1.0;   3;    21;  0.1895;   99.6;
         5; 10.0;   1;    83;  0.3561;   98.8;
         5; 10.0;   3;    35;  0.2687;   98.8;
         6;  0.0;   1;   316;  0.9641;   99.6;
         6;  0.0;   3;    91;  0.5291;   98.8;
         6;  1.0;   1;   209;  0.7399;   99.6;
         6;  1.0;   3;    24;  0.2025;   99.6;
         6; 10.0;   1;    96;  0.3735;  100.0;
         6; 10.0;   3;    36;  0.2724;  100.0;
         7;  0.0;   1;    47;  0.2486;   99.6;
         7;  0.0;   3;  5000; 29.8036;   99.2;
         7;  1.0;   1;   166;  0.5823;  100.0;
         7;  1.0;   3;    21;  0.2045;  100.0;
         7; 10.0;   1;    52;  0.2522;  100.0;
         7; 10.0;   3;    39;  0.2946;  100.0;
         8;  0.0;   1;  4043; 11.3815;   96.4;
         8;  0.0;   3;    24;  0.1780;   93.6;
         8;  1.0;   1;   741;  2.2342;   96.8;
         8;  1.0;   3;    31;  0.2437;   96.8;
         8; 10.0;   1;   171;  0.5813;   96.0;
         8; 10.0;   3;    42;  0.3033;   96.0;
         9;  0.0;   1;  2491;  7.3611;   95.6;
         9;  0.0;   3;    23;  0.1774;   94.0;
         9;  1.0;   1;   500;  1.6616;   95.6;
         9;  1.0;   3;    31;  0.2820;   95.6;
         9; 10.0;   1;   124;  0.5151;   96.0;
         9; 10.0;   3;    39;  0.3044;   96.0;
         0;  0.0;   1;  1077;  3.3417;   98.4;
         0;  0.0;   3;   320;  1.8415;   95.6;
         0;  1.0;   1;   375;  1.6196;   99.2;
         0;  1.0;   3;    25;  0.2415;   99.2;
         0; 10.0;   1;   116;  0.4651;  100.0;
         0; 10.0;   3;    42;  0.3482;  100.0;
