num_target;   la; isd; niter;     tex; te_acc;
         1;  0.0;   1;     5;  0.0720;  100.0;
         1;  0.0;   3;     4;  0.1702;  100.0;
         1;  1.0;   1;  5000;  5.6599;  100.0;
         1;  1.0;   3;    26;  0.1702;  100.0;
         1; 10.0;   1;  5000;  5.8190;  100.0;
         1; 10.0;   3;    39;  0.2020;  100.0;
         2;  0.0;   1;   742;  1.1086;   98.4;
         2;  0.0;   3;   475;  1.4014;   92.8;
         2;  1.0;   1;  5000;  6.1857;   98.0;
         2;  1.0;   3;    26;  0.1462;   98.0;
         2; 10.0;   1;  5000;  5.8915;   89.6;
         2; 10.0;   3;    41;  0.2081;   89.6;
         3;  0.0;   1;  5000;  7.1685;   97.2;
         3;  0.0;   3;    16;  0.0945;   95.2;
         3;  1.0;   1;  5000;  5.3475;   98.0;
         3;  1.0;   3;    31;  0.1349;   98.0;
         3; 10.0;   1;  5000;  5.1101;   97.6;
         3; 10.0;   3;    39;  0.1547;   97.6;
         4;  0.0;   1;     6;  0.0673;  100.0;
         4;  0.0;   3;     4;  0.0657;  100.0;
         4;  1.0;   1;  5000;  5.1103;  100.0;
         4;  1.0;   3;    25;  0.1406;  100.0;
         4; 10.0;   1;  5000;  5.9352;  100.0;
         4; 10.0;   3;    45;  0.2206;  100.0;
         5;  0.0;   1;    12;  0.1194;   99.6;
         5;  0.0;   3;   130;  0.5504;   99.6;
         5;  1.0;   1;  5000;  6.4791;   99.6;
         5;  1.0;   3;    26;  0.1723;   99.6;
         5; 10.0;   1;  5000;  5.8162;   98.8;
         5; 10.0;   3;    45;  0.1909;   98.8;
         6;  0.0;   1;   947;  1.2997;   99.6;
         6;  0.0;   3;    67;  0.1971;   99.2;
         6;  1.0;   1;  5000;  4.9906;   99.6;
         6;  1.0;   3;    30;  0.1447;   99.6;
         6; 10.0;   1;  5000;  5.8797;  100.0;
         6; 10.0;   3;    48;  0.2097;  100.0;
         7;  0.0;   1;   208;  0.6300;   99.6;
         7;  0.0;   3;   723;  5.7479;   99.2;
         7;  1.0;   1;  5000;  6.2821;  100.0;
         7;  1.0;   3;    26;  0.1642;  100.0;
         7; 10.0;   1;  5000;  5.3830;  100.0;
         7; 10.0;   3;    39;  0.1600;  100.0;
         8;  0.0;   1;  5000;  6.2825;   96.4;
         8;  0.0;   3;    16;  0.0797;   94.8;
         8;  1.0;   1;  5000;  5.2369;   96.8;
         8;  1.0;   3;    36;  0.1516;   96.8;
         8; 10.0;   1;  5000;  4.8715;   96.0;
         8; 10.0;   3;    48;  0.1786;   96.0;
         9;  0.0;   1;  5000;  7.3042;   95.6;
         9;  0.0;   3;    24;  0.1401;   94.0;
         9;  1.0;   1;  5000;  6.2444;   95.6;
         9;  1.0;   3;    34;  0.1581;   95.6;
         9; 10.0;   1;  5000;  5.7422;   96.0;
         9; 10.0;   3;    44;  0.1954;   96.0;
         0;  0.0;   1;  3733;  5.4145;   98.4;
         0;  0.0;   3;   209;  0.6296;   96.0;
         0;  1.0;   1;  5000;  5.6371;   99.2;
         0;  1.0;   3;    31;  0.1526;   99.2;
         0; 10.0;   1;  5000;  5.1028;  100.0;
         0; 10.0;   3;    41;  0.1735;  100.0;
