s [*] :=
  1 1.40163e-10    26 1.35625        51 1.40229e-10    76 1.40162e-10
  2 1.40219e-10    27 1.40182e-10    52 1.40171e-10    77 1.40186e-10
  3 1.40168e-10    28 1.40171e-10    53 0.245778       78 1.4017e-10
  4 1.40215e-10    29 1.85384e-10    54 1.40707e-10    79 0.344283
  5 1.40226e-10    30 1.40238e-10    55 1.40258e-10    80 1.40151e-10
  6 1.40157e-10    31 4.23813        56 2.45605e-10    81 0.901454
  7 1.40194e-10    32 1.40214e-10    57 1.40149e-10    82 1.40153e-10
  8 1.40166e-10    33 1.40192e-10    58 1.4016e-10     83 1.40195e-10
  9 1.4016e-10     34 1.40163e-10    59 1.40209e-10    84 1.40176e-10
 10 1.40279e-10    35 1.40171e-10    60 1.40152e-10    85 0.28929
 11 0.0240846      36 1.40161e-10    61 1.34857        86 1.40199e-10
 12 5.05564e-10    37 1.4018e-10     62 1.40292e-10    87 1.4018e-10
 13 1.40187e-10    38 1.40164e-10    63 1.55522        88 1.40149e-10
 14 0.865622       39 1.53816        64 1.40209e-10    89 1.40159e-10
 15 0.366033       40 0.608801       65 0.0422011      90 1.40174e-10
 16 1.4018e-10     41 1.40243e-10    66 1.40235e-10    91 1.40342e-10
 17 1.40169e-10    42 0.200796       67 1.40176e-10    92 1.40212e-10
 18 1.40235e-10    43 1.38804e-10    68 0.259428       93 1.40253e-10
 19 1.40163e-10    44 1.40308e-10    69 0.317776       94 1.4017e-10
 20 1.40164e-10    45 1.40152e-10    70 1.40448e-10    95 1.40171e-10
 21 0.930467       46 1.40372e-10    71 1.876e-10      96 1.40182e-10
 22 1.94583        47 1.40218e-10    72 1.40157e-10    97 1.40279e-10
 23 0.330718       48 1.40178e-10    73 1.4017e-10     98 0.262243
 24 4.23321e-10    49 6.21596        74 1.40161e-10    99 1.40177e-10
 25 0.735578       50 1.40179e-10    75 1.40144e-10   100 1.40217e-10
;

